Movie Title,IMDB Rating,Minutes,Parental Guidance Rating,Review Count,Year
12 Angry Men,9,96,Approved,831000,1957
12 Years a Slave,8.1,134,R,724000,2013
1917,8.2,119,R,640000,2019
2001: A Space Odyssey,8.3,149,G,697000,1968
3 Idiots,8.4,170,PG-13,418000,2009
A Beautiful Mind,8.2,135,PG-13,962000,2001
A Clockwork Orange,8.3,136,X,859000,1971
A Separation,8.3,123,PG-13,253000,2011
Aladdin,8,90,G,447000,1992
Alien,8.5,117,R,918000,1979
Aliens,8.4,137,R,742000,1986
All About Eve,8.2,138,Passed,136000,1950
Amadeus,8.4,160,PG,416000,1984
Amélie,8.3,122,R,777000,2001
American Beauty,8.3,122,R,1200000,1999
American History X,8.5,119,R,1200000,1998
Amores Perros,8.1,154,R,248000,2000
Apocalypse Now,8.4,147,R,691000,1979
Avengers: Endgame,8.4,181,PG-13,1200000,2019
Avengers: Infinity War,8.4,149,PG-13,1200000,2018
Back to the Future,8.5,116,PG,1300000,1985
Barry Lyndon,8.1,185,PG,177000,1975
Batman Begins,8.2,140,PG-13,1500000,2005
Before Sunrise,8.1,101,R,327000,1995
Before Sunset,8.1,80,R,279000,2004
Ben-Hur,8.1,212,G,248000,1959
Bicycle Thieves,8.3,89,Not Rated,170000,1948
Blade Runner,8.1,117,R,799000,1982
Braveheart,8.3,178,R,1100000,1995
Capernaum,8.4,126,R,99000,2018
Casablanca,8.5,102,PG,591000,1942
Casino,8.2,178,R,544000,1995
Catch Me If You Can,8.1,141,PG-13,1000000,2002
Children of Heaven,8.2,89,PG,78000,1997
Chinatown,8.2,130,R,339000,1974
Cinema Paradiso,8.5,155,PG,273000,1988
Citizen Kane,8.3,119,PG,456000,1941
City Lights,8.5,87,G,191000,1931
City of God,8.6,130,R,781000,2002
Coco,8.4,105,PG,553000,2017
Come and See,8.4,142,Not Rated,90000,1985
Cool Hand Luke,8.1,127,GP,184000,1967
Dangal,8.3,161,Not Rated,201000,2016
Das Boot,8.4,149,,259000,1981
Dead Poets Society,8.1,128,PG,521000,1989
Dial M for Murder,8.2,105,PG,183000,1954
Die Hard,8.2,132,R,912000,1988
Django Unchained,8.5,165,R,1600000,2012
